NewOrder|Espero que la Federación Española se comporte como debe y no se presente a esta patochada...
alaremanguille|@conchalote96 #236 Cerrar @ NewOrder # 2 Completamente de acuerdo. Que la selección española no acuda y que la vasca se meta el premio por ahí mismo. Este es un antecedente muy peligroso. Y no tienen porqué obedecer órdenes de Moncloa. ¿Es realmente peligroso que unos deportistas jueguen contra otros deportistas? ¿Habrá heridos, muertos? ¿Se hundirá la Bolsa? ¿Qué tal si dejáis de politizar el deporte y que cada cual anime a su equipo sin ese odio que os sale por los poros? ¿Tan grave es que alguien prefiera jugar en un equipo que no sea el vuestro? ¿No pasa algo parecido en el Reino Unido, y no pasa nada?
onbekende|¡¡SANCHEZ TRAIDOR!! ¿Hay mayor indignidad para un politico que traicionar a su nacion?
onbekende|@JeanMoulin #224 Cerrar @ Httph # 204 Y para qué quieren una selección vasca de pelota vasca si en la selección española de pelota vasca ya son todos vascos?.... Van a jugar vascos contra vascos. No te parece absurdo?.... NO ES PELOTA VASCA, ES PELOTA... un deporte que ya se jugaba en el Reino de Castilla antes de que algunos a la boina la llamasen chapela. En el año 1500, el Rey Felipe el Hermoso, fallecio en Burgos despues de jugar un partido de pelota...
onbekende|En la investidura de Pedro Sanchez, el psicopata pacto con el PNV que el gobierno de España, promoveria ante los organismos deportivos internacionales que "Euzkadi" tuviese selecciones deportivas nacionales propias. Desde entonces, un grupo de trabajo psoe-pnv estan manteniendo reuniones con dirigentes de diferentes federaciones y organizaciones (UEFA; FIFA; COI..ect) con el fin de que cuando el gobierno del Pais Vasco solicite su participacion, esos dirigentes voten a favor... Y YA SABEMOS COMO SE CONSIGUEN ESOS APOYOS... SACHEZ LO SABE BIEN, CON DINERO, Y A SANCHEZ LE SOBRA TANTO DINERO, COMO LE FALTA VERGUENZA Y DIGNIDAD detras de la pelota, vendran otros deportes... y detras del Pais Vasco ira Cataluña, pues en esto, como en toda la estrategia para la independencia, lo tienen pactado..entre PSOE, PNV, JUNTS, ERC, BILDU... y toda la banda SANCHEZ TRAIDOR!!
moskorti|Notición. Paren las rotativas
albertosanpen|Pues seran vascos contra vascos, pq a eso no juega absolutamente nadie. Menuda memez.
juan_the_scrivener|Una vergüenza más de esta gente, España nunca debería jugar contra sí misma.
hojarasca|O dios mío que problemón. Hoy no duermo
Crema_Selvatica|La selección cántabra de bolos juega contra la selección española desde debe de hacer décadas
Crema_Selvatica|@Mansell8 #225 Cerrar Mucho problema con los nacionalismos pero a Ayuso, que es la más nacionalista (madrileña), la aplaudís con las orejas. Jajaja. primera vez que oigo decir que Madrid es una nación
Ohana4|Un gobierno extorsionable es un gobierno corrupto
josep80|Y Franco qué dice? Ah no. Que está muerto. Por eso pasan estas cosas en España. Y las que esperan...
conchalote96|@NewOrder #2 Cerrar Espero que la Federación Española se comporte como debe y no se presente a esta patochada... Completamente de acuerdo. Que la selección española no acuda y que la vasca se meta el premio por ahí mismo. Este es un antecedente muy peligroso. Y no tienen porqué obedecer órdenes de Moncloa.
Calvito|No entiendo que haya una selección de pelota vasca en España, ¿serán vascos? Porque a los demás nos interesan más los teletubbies
Nivaria77|@AFALEADOR #6 Cerrar Que un personaje sin escrúpulos, como Sánchez, esté desintegrando una nación con 2000 años de historia, sin que nadie haga nada por evitarlo, ratifica que la democracia española ha fracasado. y el rey?, para que sirve ?
Un_Pallares_Cualquiera|@Httph #204 Cerrar Es que es un deporte Vasco hombre! Porque le queréis quitar la gloria? Lo Justo es que jueguen con la selección vasca. Si la selección de España es un meme, formada por 6 vascos, un navarro vascofono y un catalán hijo de vascos. España es quien no pinta nada ahí Por tanto es ESPAÑOL. Lo demás, sobra. Sólo se es vasco o catalán cuando interesa usarse de sambenito, por ser los despreciables supremacistas que son ante los SUPERIORES HABLANTES DEL ESPAÑOL.
Un_Pallares_Cualquiera|@Mansell8 #225 Cerrar Mucho problema con los nacionalismos pero a Ayuso, que es la más nacionalista (madrileña), la aplaudís con las orejas. Jajaja. Sí, esto es algo que realmente me toca ciertas partes: la hipocresía que domina en este tema.
Un_Pallares_Cualquiera|@uno_que_pasaba #199 Cerrar @ Un_Pallares_Cualquiera # 191 obviamente, el siguiente paso es la segregación... Con ese menosprecio van incluso más deprisa hacia esa vía. Vamos, sigan con ello, que intentar mediar en estos temas parece ser algo digno de masocas como yo.
Un_Pallares_Cualquiera|@Izquierda_Ruina #221 Cerrar El peor enemigo de España son los propios españoles. La Historia sigue su curso. Fuimos dueños de medio mundo y actualmente somos una mier.... Los alemanes, frances, ingleses... se sienten orgullosos de lo que son, y se rien de nosotros, pero tranquilos... una cerveza, una tapa y una paguita lo arregla todo, mientras Sánchez destruyendo a España. Bravo por los españoles. Suena gracioso pues lo de la cerveza es uno de los lemas más clásicos de una líder contraria a éstos... En la misma línea, si no hay ese orgullo, echen un poco el ojo de dónde viene todo ello y qué queda de ello, que es bastante.
Un_Pallares_Cualquiera|@culturro #196 Cerrar @ Un_Pallares_Cualquiera # 185 esos nunca pidieron respeto, solo piden dinero. Esa es una de las muchas diferencias entre el electorado y la clase política. Nada más. En la práctica los primeros no reciben ni lo uno ni lo otro, el abandono de toda la Cataluña no metropolitana (donde domina el independentismo) es continuo precisamente por eso, aunque el independentismo falle estrepitosamente en mejorar dichas zonas aún resulta menos malo que las demás opciones que directamente pasan de considerarles.
erpoashico|@innodes #209 Cerrar @ walhal # 198 además de que lo dice el Estatuto de Euskadi, si hay algo que es una nación es Euskadi, lo son y se sienten nación. En la supuesta nación española, en cambio, un gran tanto por ciento no se siente español. No puedes tener mayor evidencia. Y Navarra se unirá en breve a la nación vasca, tal y como recoge la Constitución no serías capaz con toda probabilidad de escribir tu comentario en la lengua vasca.....fíjate si eres un españolazo, que segregas a tu propia lengua
Un_Pallares_Cualquiera|@uno_que_pasaba #201 Cerrar @ Un_Pallares_Cualquiera # 189 ¿No será porque el resto de Cataluña se está vaciando porque la gente se va a Barcelona y su área metropolitana? Si el resto ya tiene más representación de la que le tocaría por población. No, porque el trato que reciben es lamentable, se está atacando continuamente la actividad económica de dichos lares para supeditarla como sea a Barcelona, para así evitar que sus continuas imposiciones se frenen. En la práctica, por mucho que esa representación sea superior siempre ha sido irrelevante, como máximo han logrado que los golpes no hayan sido como los que recibe el pellejo de un tambor, pura mitigación. Al final Cataluña para el poder es Barcelona, el resto nunca ha contado sino como propiedad de ésta para su abuso.
MartaG|Llegados a este punto, ojalá España les meta una buena tunda
Mansell8|Mucho problema con los nacionalismos pero a Ayuso, que es la más nacionalista (madrileña), la aplaudís con las orejas. Jajaja.
JeanMoulin|@Httph #204 Cerrar Es que es un deporte Vasco hombre! Porque le queréis quitar la gloria? Lo Justo es que jueguen con la selección vasca. Si la selección de España es un meme, formada por 6 vascos, un navarro vascofono y un catalán hijo de vascos. España es quien no pinta nada ahí Y para qué quieren una selección vasca de pelota vasca si en la selección española de pelota vasca ya son todos vascos?.... Van a jugar vascos contra vascos. No te parece absurdo?....
Mansell8|Hay que prohibir que los vascos jueguen a un deporte que que que... han inventado ellos. Oh, wait!
pf2014|@innodes #209 Cerrar @ walhal # 198 además de que lo dice el Estatuto de Euskadi, si hay algo que es una nación es Euskadi, lo son y se sienten nación. En la supuesta nación española, en cambio, un gran tanto por ciento no se siente español. No puedes tener mayor evidencia. Y Navarra se unirá en breve a la nación vasca, tal y como recoge la Constitución Se sienten una nación pero al fin y al cabo no son otra cosa que una provincia española
Izquierda_Ruina|El peor enemigo de España son los propios españoles. La Historia sigue su curso. Fuimos dueños de medio mundo y actualmente somos una mier.... Los alemanes, frances, ingleses... se sienten orgullosos de lo que son, y se rien de nosotros, pero tranquilos... una cerveza, una tapa y una paguita lo arregla todo, mientras Sánchez destruyendo a España. Bravo por los españoles.
Javierlec|@innodes #209 Cerrar @ walhal # 198 además de que lo dice el Estatuto de Euskadi, si hay algo que es una nación es Euskadi, lo son y se sienten nación. En la supuesta nación española, en cambio, un gran tanto por ciento no se siente español. No puedes tener mayor evidencia. Y Navarra se unirá en breve a la nación vasca, tal y como recoge la Constitución Una nación en la que Bilbao fue fundada por un rey castellano. O Zarautz, Hondarribia...o Guernica. Es decir, fueron castellanos antes que Madrid. Nunca fueron una entidad política independiente: parte deCastilla, parte de Navarra...Nación inventada por Sabino Arana, y se lo han creído. More usted cualquier mapa antiguo en cualquier enciclopedia o museo del mundo y verá que nunca aparece lo que hoy se llama Euskadi. Verá usted León, Aragón, Castilla, Navarra...y luego España.
Por_Dios|@Cento #207 Cerrar Espero que los vascos abandonen las competiciones españolas, todas. y que abandonen España tambien
Por_Dios|@innodes #209 Cerrar @ walhal # 198 además de que lo dice el Estatuto de Euskadi, si hay algo que es una nación es Euskadi, lo son y se sienten nación. En la supuesta nación española, en cambio, un gran tanto por ciento no se siente español. No puedes tener mayor evidencia. Y Navarra se unirá en breve a la nación vasca, tal y como recoge la Constitución pues fuera de España y todos contentos. Arreando que es gerundio....
Por_Dios|Espero que ningún jugador español se presente al partido. Sería una deshonra total.
JCARLOS2010|Hombre, me alegra ver que el presidente se implica con los deportes minoritarios y apoya a España. Muy bien!
1234567890|La culpa será de los pelotaris( y nunca mejor dicho) q vayan a jugar de España.
gum290|Si el artículo está en castellano no entiendo por qué no ponéis País Vasco o Guernica.
Escepticismo|@Httph #204 Cerrar Es que es un deporte Vasco hombre! Porque le queréis quitar la gloria? Lo Justo es que jueguen con la selección vasca. Si la selección de España es un meme, formada por 6 vascos, un navarro vascofono y un catalán hijo de vascos. España es quien no pinta nada ahí ¿Deporte vasco jugar a la pelota? Juego anacrónico que sobrevivió en el noroeste peninsular, más bien. Cortar troncos o tirar de una cuerda también deben de ser inventos vascos según usted. Y la sidra, y el vino blanco... Ya puestos a mirarse el ombligo.
amundsana|En la Transición fueron demasiado generosos con los nacionalistas.
Nekanes|Por que tiene que jugar la elección española contra ese equipo comarcal que además está pagado con nuestros impuestos???
Equipe|¿El Rey no tiene nada para decir? ¿Acaso no es el Jefe del Estado?
innodes|@walhal #198 Cerrar @ Quetevotetxapapote # 151 Eso de las "nacionalidades históricas" es una patochada, porque esas regiones nunca han sido una nación ni una "nacionalidad". No pues comparar el caso con el del Reino Unido, porque Escocia SÍ es una Nación, pero Cataluña no, Cataluña es una región de una Nación (España). Por mucho que inventéis y repitáis una mentira 1000 veces, no podéis cambiar la historia. además de que lo dice el Estatuto de Euskadi, si hay algo que es una nación es Euskadi, lo son y se sienten nación. En la supuesta nación española, en cambio, un gran tanto por ciento no se siente español. No puedes tener mayor evidencia. Y Navarra se unirá en breve a la nación vasca, tal y como recoge la Constitución
DCi|Acojonante y ridiculo!
Cento|Espero que los vascos abandonen las competiciones españolas, todas.
Cento|@Un_Pallares_Cualquiera #193 Cerrar @ Weitnau # 169 Eso. Primero abusamos, luego cuando no nos sirven les tiramos por ahí mientras nos preguntamos qué hemos hecho para que reaccionen así. Eso, somos muy malos los españoles. Lo mejor que hacéis es LARGAOS, unas fronteras y punto. Nunca nos hemos llevado bien españoles y catalanes.
Alias1933|@Mi_yo #64 Cerrar Sinceramente, esperaría que los seleccionados españoles se negaran a jugar con Las Vascongadas, no queda otra. Es todo absurdo y ridículo. No es ridículo realmente, es alta traición de todos y cada uno de los votantes de izquierdas, y debe tratarse con la máxima seriedad. ¡Viva España cabronas!
Httph|Es que es un deporte Vasco hombre! Porque le queréis quitar la gloria? Lo Justo es que jueguen con la selección vasca. Si la selección de España es un meme, formada por 6 vascos, un navarro vascofono y un catalán hijo de vascos. España es quien no pinta nada ahí
aguiladescalza|"Divide y venceras".
LolaLola|SINVERGUENZAS.!!!
uno_que_pasaba|@Un_Pallares_Cualquiera #189 Cerrar @ qbm # 131 En efecto, el problema es que una de las partes apenas tiene margen para ello, son acogotados por defecto. Esa es la realidad del independentismo catalán y su voto cautivo, que ya notan como Illa poco menos que se está cachondeando de ellos mientras los pisotea para bien de su electorado metropolitano. Y es normal, electoralmente los primeros no pueden hacer prácticamente nada con una ley electoral que, tal y como está implementada, deja a Barcelona provincia cerca de los dos tercios de la cámara del Parlament, y aún se quejan por ello. ¿No será porque el resto de Cataluña se está vaciando porque la gente se va a Barcelona y su área metropolitana? Si el resto ya tiene más representación de la que le tocaría por población.
lerougeetlenoir|@EugenGoldstein #28 Cerrar El felón sólo merece una cosa: ser ejecutado al lado del golpista catalán por alta traición a España. eso es lo que tiene seguro no le va a pasar. Por verse impunes roban, traicionan y campan a sus anchas. Luego vendrà el pp a tapar y como si nada. Esa es nuestra desgracia. Todos son culpables de esta corrupdictadura
uno_que_pasaba|@Un_Pallares_Cualquiera #191 Cerrar @ javil # 184 Eso les da igual, hay que minimizar el nombre y que la selección sea UNA, como siempre. El que discrepe es "enemigo de España". obviamente, el siguiente paso es la segregación...
walhal|@Quetevotetxapapote #151 Cerrar Al igual que no existe una selección absoluta del Reino Unido oficialmente reconocida, puesto que sus cuatro países constitutivos cuentan con federaciones y selecciones propias (Escocia, Gales, Inglaterra e Irlanda del Norte), que compiten por separado en los campeonatos internacionales organizados por la FIFA y la UEFA, a mi me parecería bien que en el Reino de España también existieran las cuatro selecciones de las Nacionalidades Históricas. Eso de las "nacionalidades históricas" es una patochada, porque esas regiones nunca han sido una nación ni una "nacionalidad". No pues comparar el caso con el del Reino Unido, porque Escocia SÍ es una Nación, pero Cataluña no, Cataluña es una región de una Nación (España). Por mucho que inventéis y repitáis una mentira 1000 veces, no podéis cambiar la historia.
walhal|@javil #184 Cerrar " La selección de pelota de Euskadi celebra que se enfrentará a España por primera vez el 4 de junio gracias a Sánchez" FALSO. Lo que se celebra es competir internacionalmente. Espero ir a ver algunos partidos y si me coincide ver el enfrentamiento entre Euskadi y España, preferiré que gane Euskadi, pero aplaudiré los tantos bonitos de cualquier equipo, como siempre he hecho en pelota pues estarás ante una patochada, enhorabuena.
culturro|@Un_Pallares_Cualquiera #185 Cerrar @ im21 # 167 El problema es que para la lealtad hace falta respeto, algo que siempre ha fallado y era normal que fallase ante los desplantes del periodo anterior hacia estas zonas y sus residentes. esos nunca pidieron respeto, solo piden dinero.
lerougeetlenoir|Para España y los españoles lo q es el sumun es q paguemos todos via cupo vasco la vidorra q os pegàis...chiquitos.
Un_Pallares_Cualquiera|@Quetevotetxapapote #151 Cerrar Al igual que no existe una selección absoluta del Reino Unido oficialmente reconocida, puesto que sus cuatro países constitutivos cuentan con federaciones y selecciones propias (Escocia, Gales, Inglaterra e Irlanda del Norte), que compiten por separado en los campeonatos internacionales organizados por la FIFA y la UEFA, a mi me parecería bien que en el Reino de España también existieran las cuatro selecciones de las Nacionalidades Históricas. Eso no va a pasar con la perspectiva jacobina de muchos.
Un_Pallares_Cualquiera|@Weitnau #169 Cerrar Que asquito los de la "supremacía" , eso es lo que creen junto a sus amiguetes los cataulfos. Márchense ya de la España tan horrorosa que nunca les ha dado y da nada y les ha tenido tan oprimidos, pero con una mano adelante y otra; detrás. Ahhhh, y no vuelvan y mucho menos a pedir ayudas. Eso. Primero abusamos, luego cuando no nos sirven les tiramos por ahí mientras nos preguntamos qué hemos hecho para que reaccionen así.
Ofiusa|Y lo peor es que transferimos € 5.000 millones al año al país vasco
Un_Pallares_Cualquiera|@javil #184 Cerrar " La selección de pelota de Euskadi celebra que se enfrentará a España por primera vez el 4 de junio gracias a Sánchez" FALSO. Lo que se celebra es competir internacionalmente. Espero ir a ver algunos partidos y si me coincide ver el enfrentamiento entre Euskadi y España, preferiré que gane Euskadi, pero aplaudiré los tantos bonitos de cualquier equipo, como siempre he hecho en pelota Eso les da igual, hay que minimizar el nombre y que la selección sea UNA, como siempre. El que discrepe es "enemigo de España".
axel_axarkia|"Para nosotros es el sumun", reconoce el presidente de la Federación Vasca. For me, another day at the office.... cuestión de prioridades
Un_Pallares_Cualquiera|@qbm #131 Cerrar @ javil # 123 porque en el fondo hay una animadversión entre la gente, fomentada y dirigida por la clase política que en lo único que destaca, aparte de esto, es en medrar descaradamente En efecto, el problema es que una de las partes apenas tiene margen para ello, son acogotados por defecto. Esa es la realidad del independentismo catalán y su voto cautivo, que ya notan como Illa poco menos que se está cachondeando de ellos mientras los pisotea para bien de su electorado metropolitano. Y es normal, electoralmente los primeros no pueden hacer prácticamente nada con una ley electoral que, tal y como está implementada, deja a Barcelona provincia cerca de los dos tercios de la cámara del Parlament, y aún se quejan por ello.
Un_Pallares_Cualquiera|@Julos #147 Cerrar @ 55manu # 122 estás diciendo que los catalanes y vascos no son españoles? Hay alguien suficientemente español en España para ti oh gran oráculo que todo lo sabe y guardián de la españolidad? Pues lo cierto es que, por la parte catalana, todo lo que no es el área metropolitana no parece ser española más que para usarse de sambenito (muchas veces porque no se atreven con Barcelona, véase p.ej. lo de Sijena con el MNAC aún en el tema a diferencia de la acogotada Lleida por ello, también pasó lo mismo con los JJOO de invierno pirenaicos) o pasar por caja y esquilmarles a impuestos, porque lo que hacen los gobiernos estatales en Cataluña apenas pasa de hacerse por y para la ciudad condal. Vamos, normal que haya ese poco apego.
Un_Pallares_Cualquiera|@Usertask #154 Cerrar @ 19101469 # 3 La solucion democratica radica en que los españoles voten a la coalicion PP + VOX y consigan 176 escaños durante decadas a cuesta del resto de partidos. Lo cual no va a pasar porque si llegan al poder van a facilitar una reacción incluso superior de los demás porque, como puede imaginar, volveremos al modelo franquista excluyente que, en gran medida, es lo que ha favorecido esta situación.
Un_Pallares_Cualquiera|@Ex #160 Cerrar Mas madera Izarra, para que viertan odio e insultos los comentaristas de este panfleto, que por cierto se ha convertido en amarillista. Eso es lo que se busca, para que luego haya reacción y "que malos son". En cambio, atacar al porqué de ello no vende, pues eso les dejaría en muchos puntos como culpables.
Un_Pallares_Cualquiera|@im21 #167 Cerrar @ Chispazo # 19 Es lo que tiene la ingenuidad ... se hizo pensando en la lealtad ... lo que honra a los padres de la patria que la redactaron (desde comunistas hasta franquistas y en medio los centristas de Adolfo Suárez -UCD- ) ... pero no fue el camino de la lealtad el que se siguió. El problema es que para la lealtad hace falta respeto, algo que siempre ha fallado y era normal que fallase ante los desplantes del periodo anterior hacia estas zonas y sus residentes.
javil|" La selección de pelota de Euskadi celebra que se enfrentará a España por primera vez el 4 de junio gracias a Sánchez" FALSO. Lo que se celebra es competir internacionalmente. Espero ir a ver algunos partidos y si me coincide ver el enfrentamiento entre Euskadi y España, preferiré que gane Euskadi, pero aplaudiré los tantos bonitos de cualquier equipo, como siempre he hecho en pelota
BELASTEGI|@im21 #166 Cerrar @ Utopilitologo # 14 Y el mejor frontón ... en Madrid. Supongo que dependerá del gusto de cada cual. El Frontón Jai Alai de Gernika es frecuentemente considerado el mejor frontón del mundo, especialmente por los pelotaris, Anoeta el mejor para pelota mano y el Beti Jai de Madrid es antiguo bonito y singular.
javil|@im21 #166 Cerrar @ Utopilitologo # 14 Y el mejor frontón ... en Madrid. El Beti Jai es una preciosidad de edificio, pero de mejor frontón nada, si no está acondicionado (ni se espera) para jugar partidos profesionales de pelota vasca. Madrid pasa de la pelota
Javierlec|@Quetevotetxapapote #151 Cerrar Al igual que no existe una selección absoluta del Reino Unido oficialmente reconocida, puesto que sus cuatro países constitutivos cuentan con federaciones y selecciones propias (Escocia, Gales, Inglaterra e Irlanda del Norte), que compiten por separado en los campeonatos internacionales organizados por la FIFA y la UEFA, a mi me parecería bien que en el Reino de España también existieran las cuatro selecciones de las Nacionalidades Históricas. Y cuáles son esas "cuatro " nacionalidades históricas, según usted? Porque yo no las conozco. En principio los estatutos de autonomía de Cataluña, Euskadi y Galicia eran los únicos que así se denominaban, pero hoy en día también lo son, según sus estatutos de autonomía Aragón, Andalucía, Canarias...así que, ilumínenos, ¿ Qué cuatro nacionalidades? Y, por cierto, en atletismo sólo compite el Reino Unido, no cada nación. Al igual que en baloncesto, balonmano...
killo|@Anny #163 Cerrar Una traicion mas de las muchas que lleva echas este desarmado sin escrúpulos , y la fiesta la pagaremos el resto de Españoles , vomitivo es este personaje , solo se puede sentir desprecio por El uy sí! Menuda traición! Se va a jugar un partido de pelota, los de rojo contra los de azul. Estoy en un sin vivir. Lo de que la sanidad pública esté de pena, que los jóvenes no puedan independizarse etc. ya si eso pasan a un tercer plano
JeanMoulin|@im21 #173 Cerrar @ JeanMoulin # 68 Ellos son tan españoles como el que más ... y a la historia me remito. Por supuesto. Decía que el "sumun" sería que a lo que llaman ellos selección de Euskadi la ganara lo que llaman ellos selección de España (compuesta por 8 jugadores, 6 de ellos vascos...)
Curioseante|« La selección española masculina estará representanda por 6 jugadores vascos, un navarro y un catalán» xD
Usertask|Los ciudadanos del Pais Basco si quieren comer y seguir cobrando las pensiones tienen que saber que Iberdrola lleva a EEUU un plan de inversión de 20.000 millones a cinco años en redes de transporte y distribución. Esta empresa y el BBVA ya no hacen caso al NO-Gobierno de Pedro Sanchez. Mucha pelota y pocos huevos.
40554|Geacias Pedro Sánchez por dividir España para tu beneficio
Eliansito|La selección de pelotas, palmeros y paniagueros del felón, jaja
